7000,70640
7020,55881
7040,48739
7060,44187
7080,56321
7100,46201
7120,51684
7140,46555
7160,49874
7180,49493
7200,46820
7220,56535
7240,46928
7260,49095
7280,51117
7300,51653
7320,53563
7340,43969
7360,45465
7380,49248
7400,48835
7420,69006
7440,51891
7460,56453
7480,55225
7500,57245
7520,60589
7540,57032
7560,47436
7580,48200
7600,54764
7620,49032
7640,57099
7660,50857
7680,57579
7700,50575
7720,52844
7740,55476
7760,58915
7780,53643
7800,56626
7820,54580
7840,52324
7860,56012
7880,62940
7900,59838
7920,58097
7940,69582
7960,63060
7980,58997
8000,62282
8020,57711
8040,54519
8060,65535
8080,54423
8100,58714
8120,67599
8140,61235
8160,66807
8180,59797
8200,70202
8220,59983
8240,62973
8260,66329
8280,64079
8300,69057
8320,73519
8340,70428
8360,72302
8380,91178
8400,107991
8420,133277
8440,73658
8460,84074
8480,91223
8500,69378
8520,98683
8540,104359
8560,82583
8580,82045
8600,71795
8620,71830
8640,73770
8660,106711
8680,96490
8700,113496
8720,80599
8740,80476
8760,83366
8780,96522
8800,67431
8820,71295
8840,63468
8860,80699
8880,69245
8900,76659
8920,93745
8940,67533
8960,69321
8980,69746
9000,67497
9020,92887
9040,69679
9060,70959
9080,87127
9100,71334
9120,70305
9140,72731
9160,71024
9180,90463
9200,100646
9220,98718
9240,88888
9260,81208
9280,83166
9300,76856
9320,74725
9340,75363
9360,83574
9380,101691
9400,89676
9420,127997
9440,111789
9460,85067
9480,79387
9500,75588
9520,78389
9540,91115
9560,68989
9580,71658
9600,74881
9620,76124
9640,69902
9660,79617
9680,75751
9700,71826
9720,113244
9740,84812
9760,79066
9780,77809
9800,76757
9820,90353
9840,75000
9860,78045
9880,77491
9900,91480
9920,77525
9940,89009
9960,91488
9980,114230
10000,78224
10020,82649
10040,74100
10060,88670
10080,95008
10100,84234
10120,78700
10140,96480
10160,82314
10180,86844
10200,79979
10220,117647
10240,90002
10260,78692
10280,81481
10300,115117
10320,83641
10340,110246
10360,79701
10380,81846
10400,100174
10420,82464
10440,85180
10460,111461
10480,107872
10500,88501
10520,89842
10540,86544
10560,83494
10580,100083
10600,87315
10620,140697
10640,108970
10660,97275
10680,86509
10700,107260
10720,86197
10740,108388
10760,101230
10780,95412
10800,98791
10820,93281
10840,98464
10860,96267
10880,108555
10900,118052
10920,98921
10940,103844
10960,106033
10980,100402
11000,133458
11020,92090
11040,98603
11060,97634
11080,119924
11100,104655
11120,101014
11140,113123
11160,125160
11180,98773
11200,100344
11220,90107
11240,88147
11260,194112
11280,104985
11300,113381
11320,99427
11340,120723
11360,103395
11380,84875
11400,101208
11420,143392
11440,114992
11460,133031
11480,141556
11500,103674
11520,113426
11540,111165
11560,97914
11580,118037
11600,99852
11620,107735
11640,118292
11660,97364
11680,102416
11700,127792
11720,102903
11740,102300
11760,116328
11780,102295
11800,99790
11820,115221
11840,108885
11860,97843
11880,107706
11900,137170
11920,120005
11940,101183
11960,95761
11980,119608
12000,102740
12020,109772
12040,119355
12060,137835
12080,130265
12100,107203
12120,125293
12140,109598
12160,115807
12180,121756
12200,127907
12220,144662
12240,114495
12260,128578
12280,134628
12300,142358
12320,116265
12340,112232
12360,119252
12380,124995
12400,133286
12420,146207
12440,114395
12460,116058
12480,117667
12500,121754
12520,160998
12540,157111
12560,92679
12580,118879
12600,152131
12620,114488
12640,123210
12660,112263
12680,114149
12700,126083
12720,129220
12740,129869
12760,118516
12780,134950
12800,109003
12820,112109
12840,123469
12860,135730
12880,102117
12900,105608
12920,121946
12940,148529
12960,120811
12980,114739
13000,119108
